PersonID,SessionNumber,MemberCode,LastName,MiddleName,FirstName,FormalName,ShortName,SessionContact,InterimContact,Chamber,District,Seat,Party,Phone,EMail,Building,Room,Comment,IsActive,IsMajority
William Akers:10,10,Ake,Akers,,William,Representative William Akers,Akers,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,18,,R,,Representative.William.Akers@akleg.gov,,,,true,false
Nels Anderson:9,10,And,Anderson,,Nels,Representative Nels Anderson,Anderson,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,16,,D,,Representative.Nels.Anderson@akleg.gov,,,"""Martin Severson (D) was the interim appointee by the Governor to the House for the period of January 31, 1977 until March 11, 1977 pending the election recount between Joe McGill and Nels Anderson, Jr.  Nels A. Anderson, Jr. was sworn in on March 11, 1977.""",true,false
Michael Beirne:5,10,Bei,Beirne,,Michael,Representative Michael Beirne,Beirne,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,7,,R,,Representative.Michael.Beirne@akleg.gov,,,,true,false
Don Bennett:10,10,Ben,Bennett,,Don,Representative Don Bennett,Bennett,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,20,,R,,Representative.Don.Bennett@akleg.gov,,,,true,false
Bob Bradley:9,10,BrB,Bradley,,Bob,Representative Bob Bradley,Bradley,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,8,,D,,Representative.Bob.Bradley@akleg.gov,,,,true,false
W E Bradley:9,10,BrW,Bradley,,W.,Senator W. Bradley,Bradley,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,F,,R,,Senator.W..Bradley@akleg.gov,,,,true,false
Fred Brown:9,10,Bro,Brown,,Fred,Representative Fred Brown,Brown,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,20,,D,,Representative.Fred.Brown@akleg.gov,,,,true,false
Thelma Buchholdt:9,10,Buc,Buchholdt,,Thelma,Representative Thelma Buchholdt,Buchholdt,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,9,,D,,Representative.Thelma.Buchholdt@akleg.gov,,,,true,false
John Butrovich:3,10,But,Butrovich,,John,Senator John Butrovich,Butrovich,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,O,,R,,Senator.John.Butrovich@akleg.gov,,,,true,false
Larry Carpenter:10,10,Car,Carpenter,,Larry,Representative Larry Carpenter,Carpenter,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,20,,R,,Representative.Larry.Carpenter@akleg.gov,,,,true,false
C Chatterton:10,10,Cha,Chatterton,,C.,Representative C. Chatterton,Chatterton,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,10,,R,,Representative.C..Chatterton@akleg.gov,,,,true,false
Mike Colletta:7,10,Col,Colletta,,Mike,Senator Mike Colletta,Colletta,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,I,,R,,Senator.Mike.Colletta@akleg.gov,,,,true,false
Samuel Cotten:9,10,Cot,Cotten,,Samuel,Representative Samuel Cotten,Cotten,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,8,,D,,Representative.Samuel.Cotten@akleg.gov,,,,true,false
Ed Dankworth:10,10,Dan,Dankworth,,Ed,Representative Ed Dankworth,Dankworth,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,12,,R,,Representative.Ed.Dankworth@akleg.gov,,,,true,false
Jim Duncan:9,10,Dun,Duncan,,Jim,Representative Jim Duncan,Duncan,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,4,,D,,Representative.Jim.Duncan@akleg.gov,,,,true,false
Richard Eliason:6,10,Eli,Eliason,,Richard,Representative Richard Eliason,Eliason,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,3,,R,,Representative.Richard.Eliason@akleg.gov,,,,true,false
Frank Ferguson:7,10,Fer,Ferguson,,Frank,Senator Frank Ferguson,Ferguson,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,P,,D,,Senator.Frank.Ferguson@akleg.gov,,,,true,false
Oral Freeman:1,10,Fre,Freeman,,Oral,Representative Oral Freeman,Freeman,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,1,,D,,Representative.Oral.Freeman@akleg.gov,,,,true,false
Terry Gardiner:8,10,Gar,Gardiner,,Terry,Representative Terry Gardiner,Gardiner,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,1,,D,,Representative.Terry.Gardiner@akleg.gov,,,,true,false
Phillip Guy:8,10,Guy,Guy,,Phillip,Representative Phillip Guy,Guy,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,17,,D,,Representative.Phillip.Guy@akleg.gov,,,,true,false
Glenn Hackney:8,10,Hac,Hackney,,W.,Senator W. Hackney,Hackney,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,O,,R,,Senator.W..Hackney@akleg.gov,,,,true,false
E Haugen:4,10,Hau,Haugen,,E.,Representative E. Haugen,Haugen,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,2,,R,,Representative.E..Haugen@akleg.gov,,,,true,false
George Hohman:5,10,Hoh,Hohman,,George,Senator George Hohman,Hohman,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,M,,D,,Senator.George.Hohman@akleg.gov,,,,true,false
